"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{

	"addon_game_name"			"勾肥大战"
	"HeadshotMessage"			"%s1达成了爆头！"	
	"DeniedMessage"				"%s1达成了反补！"

	"LH_Resume" "恢复切换"
	"LH_Quit" "取消房间"
	"LH_Confirm" "确认"
	// Dynamic Layout Tooltips
	"DOTA_Tooltip_ability_pudge_wars_empty1"								"空技能栏"
	"DOTA_Tooltip_ability_pudge_wars_empty1_description"					"一个预留的位置，在你某件物品达到满级时会变为一个技能。"
	"DOTA_Tooltip_ability_pudge_wars_empty2"								"空技能栏"
	"DOTA_Tooltip_ability_pudge_wars_empty2_description"					"一个预留的位置，在你某件物品达到满级时会变为一个技能。"
	"DOTA_Tooltip_ability_pudge_wars_empty3"								"空技能栏"
	"DOTA_Tooltip_ability_pudge_wars_empty3_description"					"一个预留的位置，在你某件物品达到满级时会变为一个技能。"

	"DOTA_Tooltip_ability_pudge_wars_abilities_up"								"升级能力"
	"DOTA_Tooltip_ability_pudge_wars_abilities_up_description"					"允许你查看并且升级你的钩子。 你随时可以再次返回使用界面。"
	"DOTA_Tooltip_ability_pudge_wars_abilities_down"								"返回上级"
	"DOTA_Tooltip_ability_pudge_wars_abilities_down_description"					"允许你查看并使用你的能力。 你随时可以再次进入升级界面。"

	// Max Level Bonus Abilities
	"DOTA_Tooltip_ability_grappling_hook_blink"											"闪烁"
	"DOTA_Tooltip_ability_grappling_hook_blink_Description"								"你的帕吉可以进行小距离瞬移以躲避钩子。"
	"DOTA_Tooltip_ability_grappling_hook_blink_blink_range"								"距离:"

	"DOTA_Tooltip_ability_earthshaker_totem_fissure"										"沟壑"
	"DOTA_Tooltip_ability_earthshaker_totem_fissure_Description"							"用威武的图腾猛击地面，沿直线裂开地面，眩晕和伤害敌方单位。制造一条无法通过的岩脊。"
	"DOTA_Tooltip_ability_earthshaker_totem_fissure_fissure_range"						"沟壑距离:"		
	"DOTA_Tooltip_ability_earthshaker_totem_fissure_fissure_duration"						"持续时间:"
	"DOTA_Tooltip_ability_earthshaker_totem_fissure_stun_duration"						"眩晕时间:"

	"DOTA_Tooltip_ability_techies_explosive_barrel_detonate"										"自爆"
	"DOTA_Tooltip_ability_techies_explosive_barrel_detonate_Description"							"帕吉引爆他的炸药桶，几秒后，自杀并且伤害他周围的单位。"

	//Earthshaker Totem
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem"		"撼地神牛的图腾"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_Description"		"屏障生命值: <font color='#FBAF40'>750</font>/900/1050/1200/1350\n每级增加: 150\n满级奖励: 给予帕吉使用沟壑的能力。\n\n允许帕吉创建一个屏障，可以反弹钩子，每次返弹减掉一定生命值。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_Lore"		"帕吉挥舞撼地神牛的图腾，创建屏障抵挡肉钩。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_2"		"撼地神牛的图腾"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_2_Description"		"屏障生命值: 750/<font color='#FBAF40'>900</font>/1050/1200/1350\n每级增加: 150\n满级奖励: 给予帕吉使用沟壑的能力。\n\n允许帕吉创建一个屏障，可以反弹钩子，每次返弹减掉一定生命值。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_2_Lore"		"帕吉挥舞撼地神牛的图腾，创建屏障抵挡肉钩。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_3"		"撼地神牛的图腾"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_3_Description"		"屏障生命值: 750/900/<font color='#FBAF40'>1050</font>/1200/1350\n每级增加: 150\n满级奖励: 给予帕吉使用沟壑的能力。\n\n允许帕吉创建一个屏障，可以反弹钩子，每次返弹减掉一定生命值。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_3_Lore"		"帕吉挥舞撼地神牛的图腾，创建屏障抵挡肉钩。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_4"		"撼地神牛的图腾"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_4_Description"		"屏障生命值: 750/900/1050/<font color='#FBAF40'>1200</font>/1350\n每级增加: 150\n满级奖励: 给予帕吉使用沟壑的能力。\n\n允许帕吉创建一个屏障，可以反弹钩子，每次返弹减掉一定生命值。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_4_Lore"		"帕吉挥舞撼地神牛的图腾，创建屏障抵挡肉钩。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_5"		"撼地神牛的图腾"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_5_Description"		"屏障生命值: 750/900/1050/1200/<font color='#FBAF40'>1350</font>\n每级增加: 150\n满级奖励: <font color='#FBAF40'>给予帕吉使用沟壑的能力。</font>\n\n允许帕吉创建一个屏障，可以反弹钩子，每次返弹减掉一定生命值。"
	"DOTA_TOOLTIP_ABILITY_item_pudgewars_earthshaker_totem_5_Lore"		"帕吉挥舞撼地神牛的图腾，创建屏障抵挡肉钩。"

	//Ricochets Turbine
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine"		"弹射涡轮"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_Description"		"伤害加倍: <font color='#FBAF40'>0.1</font>/0.2/0.3/0.4/0.5\n每级增加: 0.1\n\n反弹时增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_Lore"		"这件非凡的设备可以使路径上的任何物体倾斜，帕吉的肉钩也因此获得了真正的力量，命中时可以造成更高的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_2"		"弹射涡轮"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_2_Description"		"伤害加倍: 0.1/<font color='#FBAF40'>0.2</font>/0.3/0.4/0.5\n每级增加: 0.1\n\n反弹时增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_2_Lore"		"这件非凡的设备可以使路径上的任何物体倾斜，帕吉的肉钩也因此获得了真正的力量，命中时可以造成更高的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_3"		"弹射涡轮"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_3_Description"		"伤害加倍: 0.1/0.2/<font color='#FBAF40'>0.3</font>/0.4/0.5\n每级增加: 0.1\n\n反弹时增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_3_Lore"		"这件非凡的设备可以使路径上的任何物体倾斜，帕吉的肉钩也因此获得了真正的力量，命中时可以造成更高的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_4"		"弹射涡轮"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_4_Description"		"伤害加倍: 0.1/0.2/0.3/<font color='#FBAF40'>0.4</font>/0.5\n每级增加: 0.1\n\n反弹时增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_4_Lore"		"这件非凡的设备可以使路径上的任何物体倾斜，帕吉的肉钩也因此获得了真正的力量，命中时可以造成更高的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_5"		"弹射涡轮"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_5_Description"		"伤害加倍: 0.1/0.2/0.3/0.4/<font color='#FBAF40'>0.5</font>\n每级增加: 0.1\n\n反弹时增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_ricochet_turbine_5_Lore"		"这件非凡的设备可以使路径上的任何物体倾斜，帕吉的肉钩也因此获得了真正的力量，命中时可以造成更高的伤害。"

	//Item tooltips
	//Strygwyrs Claws
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw"		"血魔之爪"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_Description"		"伤害: <font color='#FBAF40'>15%%</font>/20%%/25%%/30%%/35%%\n每级增加: 5%%\n满级奖励: 割裂效果持续3秒。\n\n对敌人增加一个割裂的效果，根据敌人移动的距离造成额外的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_Lore"		"血魔对血的渴望体现在这件物品上，这些爪子会使被钩中的人受到更多的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_2"		"血魔之爪"
